python
java
c++
machine learning
deep learning
nlp
tensorflow
pytorch
sql
mysql
postgresql
mongodb
aws
docker
kubernetes
git
flask
fastapi
django
react
nodejs
pandas
numpy
scikit-learn
data analysis
data visualization
html
css
javascript
typescript
rest api
linux
